12-Oct-16 8:06:46 AM	 Tag: Test	 Status: High_High	Value 66.9130606358858
12-Oct-16 8:06:46 AM	 Tag: Test	 Status: High_High	Value 66.9130606358858
12-Oct-16 8:06:47 AM	 Tag: Test	 Status: High_High	Value 62.9320391049837
12-Oct-16 8:09:40 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:09:40 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:09:41 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:42 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:09:42 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:09:43 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:43 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:44 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:09:44 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:09:45 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:45 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:46 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:46 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:47 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:47 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:48 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:48 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:49 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:49 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:09:50 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:12:38 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:12:39 AM	 Tag: Test	 Status: High_High	Value 89.1006524188368
12-Oct-16 8:12:39 AM	 Tag: Test	 Status: High_High	Value 89.1006524188368
12-Oct-16 8:12:40 AM	 Tag: Test	 Status: High_High	Value 86.6025403784439
12-Oct-16 8:12:40 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:12:40 AM	 Tag: Test	 Status: High_High	Value 86.6025403784439
12-Oct-16 8:12:40 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:12:41 AM	 Tag: Test	 Status: High_High	Value 83.8670567945424
12-Oct-16 8:12:41 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:12:41 AM	 Tag: Test	 Status: High_High	Value 83.8670567945424
12-Oct-16 8:12:41 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:12:42 AM	 Tag: Test	 Status: High_High	Value 80.9016994374947
12-Oct-16 8:12:42 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:12:42 AM	 Tag: Test	 Status: High_High	Value 80.9016994374947
12-Oct-16 8:12:42 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:12:43 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:12:43 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:12:43 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:12:43 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:12:44 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:12:44 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:12:44 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:12:45 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:12:45 AM	 Tag: Test	 Status: High_High	Value 70.7106781186548
12-Oct-16 8:12:45 AM	 Tag: Test	 Status: Low_Low	Value -50
